GEOID20,C_TOT15,C_NHS15,C_AIA15,C_ASN15,C_BLK15,C_NHP15,C_WHT15,C_AIW15,C_ASW15,C_BLW15,C_AIB15,C_2OM15,C_HSP15,CVAP_TOT15,CVAP_NHS15,CVAP_AIA15,CVAP_ASN15,CVAP_BLK15,CVAP_NHP15,CVAP_WHT15,CVAP_AIW15,CVAP_ASW15,CVAP_BLW15,CVAP_AIB15,CVAP_2OM15,CVAP_HSP15
150010201003006,3,4,0,0,0,0,5,0,0,0,0,1,0,3,4,0,0,0,0,4,0,0,0,0,1,0
150010201003007,10,11,0,1,0,0,7,0,8,0,0,4,0,6,6,0,1,0,0,6,0,2,0,0,1,0
150010201003008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003009,11,12,0,4,0,0,14,1,0,0,0,0,0,3,4,0,1,0,0,4,0,0,0,0,0,0
150010201003010,23,19,1,3,0,0,20,1,0,0,0,1,1,21,18,1,3,0,0,17,1,0,0,0,1,0
150010201003011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003013,7,6,0,0,0,0,0,1,0,0,0,6,1,5,4,0,0,0,0,0,1,0,0,0,3,1
150010201003014,21,18,0,6,0,7,4,0,0,0,0,2,3,16,15,0,5,0,6,3,0,0,0,0,2,1
150010201003015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003017,6,5,0,0,0,0,7,0,0,0,0,0,0,6,5,0,0,0,0,7,0,0,0,0,0,0
150010201003018,2,3,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0
150010201003019,9,8,0,3,0,0,2,0,1,0,0,2,1,8,8,0,3,0,0,2,0,2,0,0,2,0
150010201003020,49,45,0,9,3,6,21,0,0,0,0,10,3,29,27,0,6,3,3,14,0,0,0,0,4,3
150010201003021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201003022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
